TITLE,LOCATIONS,RELEASE_YEAR
So I Married an Axe Murderer,305 Hugo Street,1993
So I Married an Axe Murderer,"1462 Grant Avenue, at Union Street",1993
Sphere,S.S. Jeremiah O'Brien,1998
Star Trek II : The Wrath of Kh,Golden Gate Park,1982
Star Trek IV: The Voyage Home,"West Harbor, Marina District",1986
Star Trek IV: The Voyage Home,North Beach,1986
Star Trek IV: The Voyage Home,"Marina Green, Marina District",1986
Star Trek IV: The Voyage Home,Kearny & Pacific Streets,1986
Star Trek IV: The Voyage Home,Intersection of Grant & Fresno Streets (North Beach),1986
Star Trek IV: The Voyage Home,Intersection of Columbus & Mason Streets,1986
Star Trek IV: The Voyage Home,Intersection of Columbus & Kearney Streets,1986
Star Trek IV: The Voyage Home,Golden Gate Park,1986
Star Trek IV: The Voyage Home,Golden Gate Bridge,1986
Star Trek IV: The Voyage Home,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)",1986
Star Trek IV: The Voyage Home,500 Block of Pacific Avenue (Chinatown),1986
Star Trek VI: The Undiscovered,Golden Gate Bridge,1991
Stigmata,19th and Kansas St.,1999
Street Music,,1981
Sudden Fear,Lombard Street,1952
Sudden Fear,The Tamalpais Building (1201 Greenwich Street at Hyde),1952
Sudden Fear,Brocklebank Apartments (1000 Mason Street),1952
Sudden Fear,2800 Scott Street,1952
Sudden Impact,"Near Point Lobos, El Camino Del Mar",1983
Sudden Impact,Mt. Davidson,1983
Sudden Impact,"McDonald's Restaurant (701 3rd Street, SOMA)",1983
Sudden Impact,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",1983
Sudden Impact,Hall of Justice (850 Bryant Street),1983
Sudden Impact,Ferry Plaza,1983
Sudden Impact,"Fairmont Hotel (950 Mason Street, Nob Hill)",1983
Sudden Impact,Civic Center Plaza,1983
Sudden Impact,The Embarcadero/Ferry Building,1983
Sudden Impact,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)",1983
